"","transpo_mode","highest_education","travel_time","household_income","monthly_housing_total","PUMA"
"65","Car, truck, or van","Bachelor's degree",35,69000,1800,"01600"
"66","Car, truck, or van","Professional degree beyond a bachelor's degree",20,250000,2200,"01902"
"67","Car, truck, or van","Associate's degree",60,215000,2700,"04902"
"68","Car, truck, or van","Bachelor's degree",45,215000,2700,"04902"
"69","Car, truck, or van","Associate's degree",20,46000,1600,"04500"
"70","Car, truck, or van","Associate's degree",20,113500,1400,"04303"
"71","Car, truck, or van","Regular high school diploma",15,113500,1400,"04303"
"72","Walked","Professional degree beyond a bachelor's degree",5,160000,3200,"03303"
"73","Car, truck, or van","Associate's degree",48,48000,1000,"00703"
"74","Car, truck, or van","Associate's degree",10,56300,1000,"00302"
"75","Car, truck, or van","Bachelor's degree",30,110000,1200,"01300"
"76","Car, truck, or van","1 or more years of college credit, no degree",45,293000,1700,"01000"
"77","Car, truck, or van","Regular high school diploma",20,293000,1700,"01000"
"78","Car, truck, or van","Master's degree",10,190000,1500,"00302"
"79","Car, truck, or van","Associate's degree",20,190000,1500,"00302"
"80","Car, truck, or van","Bachelor's degree",20,190000,1500,"00302"
"81","Car, truck, or van","Regular high school diploma",40,91400,620,"00302"
"82","Car, truck, or van","Some college, but less than 1 year",40,91400,620,"00302"
"83","Car, truck, or van","GED or alternative credential",30,79000,2450,"03306"
"84","Car, truck, or van","1 or more years of college credit, no degree",60,335100,1500,"00302"
"85","Car, truck, or van","Some college, but less than 1 year",30,642000,900,"04000"
"86","Streetcar or trolley car (carro publico in Puerto Rico)","Bachelor's degree",20,56000,1500,"03301"
"87","Car, truck, or van","Regular high school diploma",5,65400,3300,"04303"
"88","Car, truck, or van","Bachelor's degree",45,217000,2400,"00303"
"89","Car, truck, or van","Master's degree",75,217000,2400,"00303"
"90","Car, truck, or van","Bachelor's degree",12,305100,2700,"00701"
"91","Subway or elevated","1 or more years of college credit, no degree",20,90000,2000,"03304"
"92","Car, truck, or van","Some college, but less than 1 year",20,77500,2200,"03603"
"93","Bus or trolley bus","1 or more years of college credit, no degree",90,77500,2200,"03603"
"94","Bus or trolley bus","Master's degree",144,77500,2200,"03603"
"95","Walked","Bachelor's degree",10,60500,1200,"00506"
"96","Car, truck, or van","Bachelor's degree",18,60500,1200,"00506"
"97","Bus or trolley bus","Professional degree beyond a bachelor's degree",50,125000,950,"03305"
"98","Car, truck, or van","Master's degree",10,179000,1400,"04500"
"99","Car, truck, or van","No schooling completed",15,40000,700,"00502"
"100","Bus or trolley bus","Bachelor's degree",40,138000,720,"00506"
"101","Bus or trolley bus","Master's degree",40,138000,720,"00506"
"102","Subway or elevated","1 or more years of college credit, no degree",25,138000,720,"00506"
"103","Car, truck, or van","Grade 10",30,80200,3700,"03306"
"104","Car, truck, or van","Doctorate degree",60,340000,6200,"03603"
"105","Car, truck, or van","Bachelor's degree",60,340000,6200,"03603"
"106","Car, truck, or van","Master's degree",50,85050,4000,"02400"
"107","Car, truck, or van","Master's degree",75,85050,4000,"02400"
"108","Car, truck, or van","Associate's degree",15,54300,1400,"00507"
"109","Walked","Associate's degree",3,54300,1400,"00507"
"110","Car, truck, or van","Bachelor's degree",10,232100,250,"00703"
"111","Car, truck, or van","Master's degree",40,232100,250,"00703"
"112","Bus or trolley bus","Master's degree",10,115500,1700,"00507"
"113","Car, truck, or van","Bachelor's degree",30,115500,1700,"00507"
"114","Car, truck, or van","1 or more years of college credit, no degree",5,125750,2200,"03602"
"115","Car, truck, or van","GED or alternative credential",45,125750,2200,"03602"
"116","Car, truck, or van","1 or more years of college credit, no degree",10,125750,2200,"03602"
"117","Car, truck, or van","Master's degree",10,287000,3000,"01000"
"118","Car, truck, or van","Master's degree",10,287000,3000,"01000"
"119","Car, truck, or van","Bachelor's degree",60,225600,2600,"00702"
"120","Car, truck, or van","Associate's degree",45,225600,2600,"00702"
"121","Car, truck, or van","Bachelor's degree",30,160000,2200,"00508"
"122","Subway or elevated","Bachelor's degree",45,160000,2200,"00508"
"123","Car, truck, or van","Bachelor's degree",35,17500,850,"04302"
"124","Car, truck, or van","Doctorate degree",10,45000,1400,"00300"
"125","Car, truck, or van","1 or more years of college credit, no degree",20,59600,300,"04903"
"126","Car, truck, or van","1 or more years of college credit, no degree",30,56500,930,"00200"
"127","Bus or trolley bus","Regular high school diploma",30,14800,1100,"03304"
"128","Car, truck, or van","Associate's degree",30,9970,210,"00301"
"129","Walked","Master's degree",60,175300,1100,"00506"
"130","Car, truck, or van","Grade 11",45,30000,700,"00304"
"131","Car, truck, or van","Regular high school diploma",30,172040,230,"02400"
"132","Car, truck, or van","Some college, but less than 1 year",5,172040,230,"02400"
"133","Car, truck, or van","1 or more years of college credit, no degree",10,18200,1400,"03303"
"134","Car, truck, or van","Bachelor's degree",60,150000,2900,"03500"
"135","Car, truck, or van","Some college, but less than 1 year",45,103400,790,"01600"
"136","Car, truck, or van","Bachelor's degree",5,103400,790,"01600"
"137","Car, truck, or van","1 or more years of college credit, no degree",15,112100,160,"00701"
"138","Car, truck, or van","Master's degree",45,295480,2800,"03400"
"139","Bus or trolley bus","Master's degree",40,295480,2800,"03400"
"140","Car, truck, or van","GED or alternative credential",15,65700,1550,"00701"
"141","Car, truck, or van","Regular high school diploma",15,65700,1550,"00701"
"142","Car, truck, or van","Grade 7",40,65700,1550,"00701"
"143","Car, truck, or van","Regular high school diploma",20,91000,1100,"00703"
"144","Car, truck, or van","Regular high school diploma",30,91000,1100,"00703"
"145","Walked","Bachelor's degree",5,154000,2300,"03302"
"146","Walked","Regular high school diploma",20,154000,2300,"03302"
"147","Car, truck, or van","Bachelor's degree",40,38480,830,"04302"
"148","Car, truck, or van","Professional degree beyond a bachelor's degree",40,217200,2300,"00200"
"149","Car, truck, or van","Bachelor's degree",45,217200,2300,"00200"
"150","Car, truck, or van","Grade 11",15,217200,2300,"00200"
"151","Car, truck, or van","Bachelor's degree",45,184600,3050,"00505"
"152","Car, truck, or van","Regular high school diploma",30,184600,3050,"00505"
"153","Railroad","Bachelor's degree",60,354000,2600,"00508"
"154","Car, truck, or van","Doctorate degree",20,354000,2600,"00508"
"155","Car, truck, or van","Bachelor's degree",1,130000,1600,"04200"
"156","Car, truck, or van","Regular high school diploma",5,73300,330,"00703"
"157","Car, truck, or van","Regular high school diploma",30,73300,330,"00703"
"158","Car, truck, or van","Professional degree beyond a bachelor's degree",45,176500,1300,"03305"
"159","Walked","Regular high school diploma",30,176500,1300,"03305"
"160","Car, truck, or van","Regular high school diploma",15,77200,1600,"04903"
"161","Car, truck, or van","Regular high school diploma",15,77200,1600,"04903"
"162","Car, truck, or van","Grade 11",10,77200,1600,"04903"
"163","Car, truck, or van","Associate's degree",10,24000,730,"04500"
"164","Car, truck, or van","1 or more years of college credit, no degree",25,106000,2000,"04303"
"165","Car, truck, or van","Some college, but less than 1 year",15,106000,2000,"04303"
"166","Car, truck, or van","1 or more years of college credit, no degree",40,40000,1200,"00502"
"167","Subway or elevated","Master's degree",45,115000,2200,"00503"
"168","Car, truck, or van","Bachelor's degree",30,59000,4000,"03306"
"169","Railroad","Bachelor's degree",45,59000,4000,"03306"
"170","Car, truck, or van","GED or alternative credential",20,81000,1800,"01902"
"171","Car, truck, or van","1 or more years of college credit, no degree",25,81000,1800,"01902"
"172","Car, truck, or van","Bachelor's degree",60,293400,2400,"03900"
"173","Car, truck, or van","GED or alternative credential",15,89000,1400,"01600"
"174","Car, truck, or van","Master's degree",10,1e+05,2000,"03303"
"175","Car, truck, or van","Bachelor's degree",15,233000,1800,"00400"
"176","Car, truck, or van","Some college, but less than 1 year",20,233000,1800,"00400"
"177","Car, truck, or van","1 or more years of college credit, no degree",15,233000,1800,"00400"
"178","Car, truck, or van","Bachelor's degree",45,233000,1800,"00400"
"179","Car, truck, or van","Bachelor's degree",45,233000,1800,"00400"
"180","Car, truck, or van","Master's degree",30,114930,1600,"03304"
"181","Car, truck, or van","Grade 11",15,114930,1600,"03304"
"182","Bus or trolley bus","Regular high school diploma",60,114930,1600,"03304"
"183","Walked","Bachelor's degree",30,114930,1600,"03304"
"184","Car, truck, or van","Professional degree beyond a bachelor's degree",30,440200,2850,"04902"
"185","Car, truck, or van","Doctorate degree",30,440200,2850,"04902"
"186","Car, truck, or van","Associate's degree",15,40000,270,"01900"
"187","Railroad","Bachelor's degree",48,76000,1300,"00703"
"188","Car, truck, or van","Associate's degree",30,35000,960,"00504"
"189","Car, truck, or van","Master's degree",25,178000,2000,"03302"
"190","Car, truck, or van","Master's degree",25,178000,2000,"03302"
"191","Car, truck, or van","Regular high school diploma",10,36200,1300,"02800"
"192","Walked","Regular high school diploma",2,36200,1300,"02800"
"193","Car, truck, or van","Master's degree",30,173000,1500,"03303"
"194","Car, truck, or van","Bachelor's degree",30,173000,1500,"03303"
"195","Walked","Bachelor's degree",45,70370,480,"03301"
"196","Walked","Bachelor's degree",5,70370,480,"03301"
"197","Bus or trolley bus","No schooling completed",30,113000,2000,"00704"
"198","Car, truck, or van","Regular high school diploma",50,113000,2000,"00704"
"199","Car, truck, or van","1 or more years of college credit, no degree",30,231300,2000,"00502"
"200","Car, truck, or van","Regular high school diploma",15,231300,2000,"00502"
"201","Car, truck, or van","Associate's degree",30,231300,2000,"00502"
"202","Car, truck, or van","No schooling completed",30,231300,2000,"00502"
"203","Car, truck, or van","Regular high school diploma",5,231300,2000,"00502"
"204","Car, truck, or van","Master's degree",30,85000,2130,"01300"
"205","Car, truck, or van","Grade 11",20,85000,2130,"01300"
"206","Subway or elevated","Bachelor's degree",50,302000,3000,"03301"
"207","Subway or elevated","Master's degree",40,302000,3000,"03301"
"208","Car, truck, or van","Regular high school diploma",144,124400,1900,"00702"
"209","Bus or trolley bus","Bachelor's degree",45,205400,1900,"00505"
"210","Bus or trolley bus","Bachelor's degree",33,205400,1900,"00505"
"211","Car, truck, or van","Regular high school diploma",10,66500,780,"04301"
"212","Car, truck, or van","Regular high school diploma",20,66500,780,"04301"
"213","Car, truck, or van","Master's degree",20,52000,1700,"00200"
"214","Car, truck, or van","Master's degree",20,215000,3400,"03500"
"215","Car, truck, or van","1 or more years of college credit, no degree",30,16420,690,"00400"
"216","Car, truck, or van","Bachelor's degree",60,223000,2810,"00505"
"217","Car, truck, or van","1 or more years of college credit, no degree",45,223000,2810,"00505"
"218","Walked","1 or more years of college credit, no degree",8,1800,1700,"03301"
"219","Car, truck, or van","Professional degree beyond a bachelor's degree",30,276000,2000,"01600"
"220","Car, truck, or van","Doctorate degree",30,276000,2000,"01600"
"221","Car, truck, or van","Bachelor's degree",30,276000,2000,"01600"
"222","Car, truck, or van","Bachelor's degree",45,71000,1600,"00502"
"223","Car, truck, or van","12th grade - no diploma",40,71000,1600,"00502"
"224","Car, truck, or van","Bachelor's degree",15,133000,4200,"03400"
"225","Car, truck, or van","Regular high school diploma",25,26300,650,"04200"
"226","Car, truck, or van","Regular high school diploma",10,38800,1300,"01900"
"227","Car, truck, or van","Regular high school diploma",30,11230,1300,"00703"
"228","Car, truck, or van","Regular high school diploma",45,37000,1200,"02800"
"229","Car, truck, or van","Bachelor's degree",25,371000,2500,"03302"
"230","Bus or trolley bus","Master's degree",25,371000,2500,"03302"
"231","Subway or elevated","Master's degree",50,259370,3100,"03306"
"232","Car, truck, or van","Master's degree",45,259370,3100,"03306"
"233","Walked","Master's degree",20,203000,720,"00506"
"234","Bus or trolley bus","Bachelor's degree",35,203000,720,"00506"
"235","Walked","Bachelor's degree",10,203000,720,"00506"
"236","Subway or elevated","1 or more years of college credit, no degree",45,203000,720,"00506"
"237","Car, truck, or van","GED or alternative credential",30,66500,1500,"00701"
"238","Car, truck, or van","Regular high school diploma",10,66500,1500,"00701"
"239","Car, truck, or van","Master's degree",50,301300,2280,"03303"
"240","Car, truck, or van","Bachelor's degree",20,301300,2280,"03303"
"241","Car, truck, or van","Bachelor's degree",50,59000,850,"04500"
"242","Car, truck, or van","Master's degree",20,59000,850,"04500"
"243","Car, truck, or van","Bachelor's degree",40,177500,2900,"00505"
"244","Car, truck, or van","Doctorate degree",45,177500,2900,"00505"
"245","Walked","Bachelor's degree",15,93100,1800,"03302"
"246","Car, truck, or van","Bachelor's degree",144,90000,1850,"03603"
"247","Car, truck, or van","1 or more years of college credit, no degree",50,171000,2500,"00704"
"248","Railroad","Bachelor's degree",33,171000,2500,"00704"
"249","Car, truck, or van","Some college, but less than 1 year",70,168100,1200,"00200"
"250","Car, truck, or van","GED or alternative credential",15,121600,1000,"03305"
"251","Car, truck, or van","Regular high school diploma",144,49200,1100,"00400"
"252","Car, truck, or van","Associate's degree",10,49200,1100,"00400"
"253","Car, truck, or van","Master's degree",10,46000,2000,"00503"
"254","Walked","Professional degree beyond a bachelor's degree",10,170000,6200,"03400"
"255","Car, truck, or van","Professional degree beyond a bachelor's degree",144,170000,6200,"03400"
"256","Bus or trolley bus","Bachelor's degree",15,153050,1700,"03301"
"257","Car, truck, or van","Associate's degree",25,153050,1700,"03301"
"258","Walked","Bachelor's degree",10,112000,2400,"03302"
"259","Subway or elevated","Bachelor's degree",30,112000,2400,"03302"
"260","Car, truck, or van","1 or more years of college credit, no degree",2,153000,3500,"03602"
"261","Car, truck, or van","1 or more years of college credit, no degree",15,153000,3500,"03602"
"262","Car, truck, or van","Master's degree",40,94000,1200,"00504"
"263","Car, truck, or van","Some college, but less than 1 year",30,70000,1600,"04901"
"264","Railroad","1 or more years of college credit, no degree",60,80800,1700,"00507"
"265","Subway or elevated","Master's degree",30,80800,1700,"00507"
"266","Car, truck, or van","Master's degree",35,38000,2200,"00303"
"267","Car, truck, or van","Bachelor's degree",40,38000,2200,"00303"
"268","Car, truck, or van","Master's degree",15,342400,1500,"00506"
"269","Car, truck, or van","Bachelor's degree",13,33000,750,"00100"
"270","Car, truck, or van","Associate's degree",50,62900,1200,"01600"
"271","Car, truck, or van","1 or more years of college credit, no degree",40,188000,2450,"01300"
"272","Car, truck, or van","Bachelor's degree",45,188000,2450,"01300"
"273","Car, truck, or van","Some college, but less than 1 year",10,188000,2450,"01300"
"274","Car, truck, or van","Some college, but less than 1 year",20,188000,2450,"01300"
"275","Bus or trolley bus","Bachelor's degree",4,62400,1300,"01600"
"276","Car, truck, or van","Regular high school diploma",5,45000,950,"00400"
"277","Subway or elevated","Doctorate degree",45,152000,4000,"00507"
"278","Car, truck, or van","Bachelor's degree",30,237100,2400,"00702"
"279","Car, truck, or van","Master's degree",5,237100,2400,"00702"
"280","Car, truck, or van","Master's degree",15,90000,1220,"02800"
"281","Car, truck, or van","Bachelor's degree",30,143000,2200,"00302"
"282","Car, truck, or van","Bachelor's degree",25,143000,2200,"00302"
"283","Car, truck, or van","1 or more years of college credit, no degree",20,39000,1100,"00304"
"284","Car, truck, or van","Bachelor's degree",20,39000,1100,"00304"
"285","Car, truck, or van","Regular high school diploma",25,147000,570,"00300"
"286","Car, truck, or van","Some college, but less than 1 year",144,147000,570,"00300"
"287","Car, truck, or van","Bachelor's degree",50,147000,570,"00300"
"288","Car, truck, or van","GED or alternative credential",6,30000,1670,"00400"
"289","Car, truck, or van","1 or more years of college credit, no degree",25,30000,1670,"00400"
"290","Car, truck, or van","Master's degree",15,111010,2000,"04700"
"291","Car, truck, or van","Associate's degree",45,183200,1700,"03601"
"292","Car, truck, or van","1 or more years of college credit, no degree",10,183200,1700,"03601"
"293","Car, truck, or van","Some college, but less than 1 year",15,183200,1700,"03601"
"294","Car, truck, or van","Master's degree",30,185000,1400,"01600"
"295","Car, truck, or van","Master's degree",30,185000,1400,"01600"
"296","Car, truck, or van","Regular high school diploma",45,136000,1800,"00400"
"297","Car, truck, or van","Regular high school diploma",60,136000,1800,"00400"
"298","Car, truck, or van","Associate's degree",45,136000,1800,"00400"
"299","Bicycle","Regular high school diploma",10,49100,1500,"03306"
"300","Car, truck, or van","Bachelor's degree",45,49100,1500,"03306"
"301","Car, truck, or van","1 or more years of college credit, no degree",35,53000,1400,"00701"
"302","Walked","Professional degree beyond a bachelor's degree",15,122000,3000,"03302"
"303","Walked","Professional degree beyond a bachelor's degree",30,122000,3000,"03302"
"304","Car, truck, or van","Doctorate degree",20,250000,3100,"00505"
"305","Car, truck, or van","Doctorate degree",20,250000,3100,"00505"
"306","Car, truck, or van","Master's degree",30,163000,2200,"00701"
"307","Car, truck, or van","Master's degree",90,163000,2200,"00701"
"308","Car, truck, or van","Grade 9",30,46200,1300,"00702"
"309","Car, truck, or van","Regular high school diploma",15,46200,1300,"00702"
"310","Subway or elevated","Bachelor's degree",50,247000,3100,"02800"
"311","Subway or elevated","Master's degree",60,247000,3100,"02800"
"312","Car, truck, or van","Some college, but less than 1 year",50,65200,1500,"00508"
"313","Car, truck, or van","Regular high school diploma",5,117000,2100,"01300"
"314","Car, truck, or van","Bachelor's degree",45,117000,2100,"01300"
"315","Car, truck, or van","Bachelor's degree",65,160000,2000,"00703"
"316","Car, truck, or van","Bachelor's degree",5,51380,1200,"00304"
"317","Bicycle","Bachelor's degree",25,106840,1400,"01600"
"318","Car, truck, or van","Master's degree",40,106840,1400,"01600"
"319","Car, truck, or van","1 or more years of college credit, no degree",10,38000,1000,"00300"
"320","Car, truck, or van","Professional degree beyond a bachelor's degree",25,4e+05,1000,"03601"
"321","Car, truck, or van","Master's degree",25,384000,1100,"00505"
"322","Car, truck, or van","Bachelor's degree",30,384000,1100,"00505"
"323","Car, truck, or van","Bachelor's degree",60,128000,1200,"00504"
"324","Car, truck, or van","Master's degree",30,128000,1200,"00504"
"325","Car, truck, or van","Bachelor's degree",30,43700,1400,"01600"
"326","Car, truck, or van","Bachelor's degree",25,43700,1400,"01600"
"327","Car, truck, or van","Master's degree",8,135200,620,"00200"
"328","Car, truck, or van","12th grade - no diploma",30,135200,620,"00200"
"329","Car, truck, or van","Regular high school diploma",40,135200,620,"00200"
"330","Car, truck, or van","Master's degree",45,10000,1700,"02400"
"331","Car, truck, or van","1 or more years of college credit, no degree",35,25000,550,"04303"
"332","Car, truck, or van","Master's degree",60,87000,1500,"04301"
"333","Subway or elevated","Master's degree",60,110000,1600,"03305"
"334","Car, truck, or van","Bachelor's degree",75,286600,4500,"01400"
"335","Car, truck, or van","Master's degree",20,286600,4500,"01400"
"336","Car, truck, or van","Regular high school diploma",90,142000,2100,"04901"
"337","Car, truck, or van","Bachelor's degree",50,142000,2100,"04901"
"338","Car, truck, or van","Bachelor's degree",30,18800,970,"01901"
"339","Car, truck, or van","Some college, but less than 1 year",25,24000,1800,"00200"
"340","Car, truck, or van","Regular high school diploma",40,151000,1800,"04901"
"341","Railroad","Associate's degree",60,151000,1800,"04901"
"342","Walked","Grade 10",3,151000,1800,"04901"
"343","Car, truck, or van","Regular high school diploma",30,134600,2600,"04903"
"344","Car, truck, or van","Regular high school diploma",20,134600,2600,"04903"
"345","Car, truck, or van","Regular high school diploma",30,134600,2600,"04903"
"346","Car, truck, or van","Bachelor's degree",15,80000,1700,"02400"
"347","Car, truck, or van","Professional degree beyond a bachelor's degree",45,445000,2300,"03302"
"348","Car, truck, or van","Some college, but less than 1 year",15,445000,2300,"03302"
"349","Walked","Bachelor's degree",20,135000,1200,"04800"
"350","Car, truck, or van","Associate's degree",15,63000,250,"04700"
"351","Car, truck, or van","Bachelor's degree",10,50000,1600,"03900"
"352","Car, truck, or van","Bachelor's degree",15,50000,1600,"03900"
"353","Car, truck, or van","Bachelor's degree",30,94000,1900,"00702"
"354","Car, truck, or van","Regular high school diploma",15,94000,1900,"00702"
"355","Car, truck, or van","Bachelor's degree",7,228200,1430,"03305"
"356","Car, truck, or van","GED or alternative credential",7,79000,800,"00304"
"357","Car, truck, or van","Some college, but less than 1 year",20,79000,800,"00304"
"358","Car, truck, or van","Master's degree",70,120000,2200,"03602"
"359","Car, truck, or van","Bachelor's degree",45,110000,2000,"00505"
"360","Car, truck, or van","Bachelor's degree",20,69000,1000,"00502"
"361","Bus or trolley bus","Bachelor's degree",45,70000,1200,"00505"
"362","Car, truck, or van","Regular high school diploma",30,139500,1000,"03306"
"363","Bus or trolley bus","Professional degree beyond a bachelor's degree",70,69600,2000,"03306"
"364","Car, truck, or van","Doctorate degree",45,240000,2400,"03500"
"365","Car, truck, or van","Master's degree",25,240000,2400,"03500"
"366","Subway or elevated","Bachelor's degree",25,90000,1500,"00506"
"367","Car, truck, or van","Regular high school diploma",30,41800,840,"00701"
"368","Car, truck, or van","Grade 8",30,60000,570,"03304"
"369","Car, truck, or van","Regular high school diploma",15,60000,570,"03304"
"370","Car, truck, or van","Some college, but less than 1 year",30,67800,1700,"01300"
"371","Car, truck, or van","Regular high school diploma",30,67800,1700,"01300"
"372","Car, truck, or van","1 or more years of college credit, no degree",6,42600,710,"01902"
"373","Car, truck, or van","Master's degree",40,16700,710,"00503"
"374","Car, truck, or van","Associate's degree",40,216400,2200,"03500"
"375","Car, truck, or van","Bachelor's degree",25,216400,2200,"03500"
"376","Car, truck, or van","Master's degree",30,80000,1000,"00200"
"377","Car, truck, or van","1 or more years of college credit, no degree",20,212000,1400,"00100"
"378","Car, truck, or van","Bachelor's degree",20,212000,1400,"00100"
"379","Car, truck, or van","Associate's degree",45,62400,2900,"00507"
"380","Car, truck, or van","Grade 11",15,62400,2900,"00507"
"381","Car, truck, or van","Associate's degree",30,104000,1500,"04500"
"382","Car, truck, or van","Grade 6",144,104000,1500,"04500"
"383","Car, truck, or van","12th grade - no diploma",45,5090,250,"01902"
"384","Car, truck, or van","Associate's degree",15,82080,900,"04500"
"385","Car, truck, or van","Regular high school diploma",25,67500,1100,"00701"
"386","Car, truck, or van","Regular high school diploma",10,67500,1100,"00701"
"387","Subway or elevated","Master's degree",45,130000,1600,"03304"
"388","Car, truck, or van","Bachelor's degree",45,130000,1600,"03304"
"389","Bus or trolley bus","Master's degree",90,130000,1600,"03304"
"390","Railroad","Bachelor's degree",75,165000,2200,"02400"
"391","Car, truck, or van","Master's degree",30,165000,2200,"02400"
"392","Car, truck, or van","Master's degree",45,267000,2700,"04903"
"393","Car, truck, or van","Master's degree",30,267000,2700,"04903"
"394","Car, truck, or van","Some college, but less than 1 year",25,126000,3000,"03601"
"395","Car, truck, or van","Bachelor's degree",25,126000,3000,"03601"
"396","Walked","Professional degree beyond a bachelor's degree",10,313170,7700,"03302"
"397","Railroad","Professional degree beyond a bachelor's degree",50,313170,7700,"03302"
"398","Car, truck, or van","Regular high school diploma",15,74500,1300,"04200"
"399","Walked","Bachelor's degree",15,68600,1600,"03302"
"400","Walked","Regular high school diploma",10,68600,1600,"03302"
"401","Other method","Regular high school diploma",40,68600,1600,"03302"
"402","Car, truck, or van","Regular high school diploma",20,42200,900,"01902"
"403","Walked","Bachelor's degree",25,215000,1700,"03302"
"404","Car, truck, or van","Master's degree",50,215000,1700,"03302"
"405","Bus or trolley bus","Associate's degree",30,30000,1200,"03303"
"406","Car, truck, or van","Bachelor's degree",20,1e+05,800,"03302"
"407","Car, truck, or van","Associate's degree",5,52500,830,"00301"
"408","Car, truck, or van","1 or more years of college credit, no degree",6,52500,830,"00301"
"409","Car, truck, or van","Bachelor's degree",50,390000,3900,"04903"
"410","Car, truck, or van","Professional degree beyond a bachelor's degree",30,390000,3900,"04903"
"411","Subway or elevated","Bachelor's degree",50,184800,1600,"00508"
"412","Car, truck, or van","Bachelor's degree",75,135000,2400,"00701"
"413","Car, truck, or van","1 or more years of college credit, no degree",10,135000,2400,"00701"
"414","Car, truck, or van","Doctorate degree",30,72000,890,"00200"
